Column 1,commune,mean(prix_m2),mean(surface_all),mean(prix),nombre,prix_m2,surface,nom_com
1,Armentières,12.1675877368026,50.7096774193548,560.935483870968,31,12.1675877368026,50.7096774193548,Armentières
2,Bourbourg,8.56808292931174,53.2727272727273,443.636363636364,11,8.56808292931174,53.2727272727273,Bourbourg
3,Cambrai,10.6817204142536,54.6986301369863,520.123287671233,73,10.6817204142536,54.6986301369863,Cambrai
4,Caudry,8.16831767733805,68.4,514.266666666667,15,8.16831767733805,68.4,Caudry
5,Croix,17.9962789357395,42.8571428571429,616.857142857143,14,17.9962789357395,42.8571428571429,Croix
6,Denain,8.55870326681574,73.8181818181818,536.272727272727,11,8.55870326681574,73.8181818181818,Denain
7,Douai,12.5422330203041,49.7540983606557,536.655737704918,61,12.5422330203041,49.7540983606557,Douai
8,Dunkerque,12.0082901561311,55.1818181818182,594.060606060606,33,12.0082901561311,55.1818181818182,Dunkerque
9,Faches-Thumesnil,12.2124897520761,64.2941176470588,719.647058823529,17,12.2124897520761,64.2941176470588,Faches-Thumesnil
10,Gravelines,10.6585837574089,68.0769230769231,668.076923076923,13,10.6585837574089,68.0769230769231,Gravelines
11,Hazebrouck,10.6821873829202,62.1176470588235,584.764705882353,17,10.6821873829202,62.1176470588235,Hazebrouck
12,Hellemmes-Lille,16.1404685556435,45.625,577.5,16,16.1404685556435,45.625,Hellemmes-Lille
13,La Madeleine,16.9426136621451,57.6388888888889,858,36,16.9426136621451,57.6388888888889,La Madeleine
14,Lambersart,15.549016804783,49.6451612903226,705.193548387097,31,15.549016804783,49.6451612903226,Lambersart
15,Lille,19.1836525265744,41.6864951768489,689.567524115756,622,19.1836525265744,41.6864951768489,Lille
16,Lille Centre,17.5071847485202,46.3913043478261,738.304347826087,23,17.5071847485202,46.3913043478261,Lille Centre
17,Lille Vauban-Esquermes,20.6456064678418,32.3076923076923,653.461538461538,13,20.6456064678418,32.3076923076923,Lille Vauban-Esquermes
18,Lille Vieux-Lille,18.7352149924173,44.2307692307692,769.230769230769,13,18.7352149924173,44.2307692307692,Lille Vieux-Lille
19,Lille Wazemmes,19.8833653990159,18.5714285714286,510.5,14,19.8833653990159,18.5714285714286,Lille Wazemmes
20,Lomme,12.6579010316321,59.1538461538462,685.307692307692,13,12.6579010316321,59.1538461538462,Lomme
21,Loos,17.4486725128028,38.1923076923077,592.538461538462,26,17.4486725128028,38.1923076923077,Loos
22,Marcq-en-Baroeul,17.3222017057411,54.6363636363636,826.69696969697,33,17.3222017057411,54.6363636363636,Marcq-en-Baroeul
23,Mons-en-Baroeul,16.52370215561,42.2727272727273,628.636363636364,11,16.52370215561,42.2727272727273,Mons-en-Baroeul
24,Ronchin,16.9569746845092,49.6428571428571,637.571428571429,14,16.9569746845092,49.6428571428571,Ronchin
25,Roubaix,18.7170133651412,36.8253968253968,531.730158730159,63,18.7170133651412,36.8253968253968,Roubaix
26,Seclin,11.8051825906243,62.1818181818182,692.636363636364,11,11.8051825906243,62.1818181818182,Seclin
27,Tourcoing,13.7715940224521,51.609375,624.78125,64,13.7715940224521,51.609375,Tourcoing
28,Valenciennes,12.7285252776078,49.968085106383,576.436170212766,94,12.7285252776078,49.968085106383,Valenciennes
29,Villeneuve-d'Ascq,20.0618047534842,44.28,700.56,25,20.0618047534842,44.28,Villeneuve-d'Ascq
30,Wasquehal,13.8310267064609,59.0476190476191,759.761904761905,21,13.8310267064609,59.0476190476191,Wasquehal
