web-scraper-order,web-scraper-start-url,titre_annonce,prix,commune,date,code_postal,surface_all,nb_pièces,détail,prix_m2
1613500648-53334,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=66,Appartement 3 pièces 56 m²,950,Lille ,"10 fév, 18:52",59000,56,3,Appartement,16.964285714285715
1613500586-52581,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=87,Appartement 2 pièces 22 m²,465,Lille ,"08 fév, 12:08",59000,22,2,Appartement,21.136363636363637
1613500619-52910,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=78,Appartement 2 pièces 130 m²,570,Hellemmes-Lille ,"09 fév, 12:03",59260,130,2,Appartement,4.384615384615385
1613500715-54267,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=39,Appartement 2 pièces 41 m²,565,La Madeleine ,"13 fév, 16:27",59110,41,2,Appartement,13.78048780487805
1613500845-55023,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=16,NOUVEAU - Studio 24m2 meublé bien placé Vauban/Catho,600,Lille  Vauban-Esquermes,"15 fév, 20:35",59800,24,1,Appartement,25
1613500873-55409,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=5,Studio 1 pièce 30 m²,424,Lille ,"16 fév, 15:36",59000,30,1,Appartement,14.133333333333333
1613500700-54064,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=45,Appartement 2 pièces 48 m²,599,Lille ,"12 fév, 21:55",59000,48,2,Appartement,12.479166666666666
1613500621-52953,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=77,Appartement 3 pièces 69 m²,963,Lille ,"09 fév, 14:25",59000,69,3,Appartement,13.956521739130435
1613500876-55423,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=4,Chambre 1 pièce 12 m²,411,Roubaix ,"16 fév, 16:56",59100,12,,,34.25
1613500688-53896,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=50,Studio 1 pièce 23 m²,499,Lille ,"12 fév, 15:11",59000,23,1,Appartement,21.695652173913043
1613500693-53946,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=48,Studio 1 pièce 18 m²,440,Lille ,"12 fév, 17:23",59000,18,1,Appartement,24.444444444444443
1613500835-54888,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=20,Appartement 43m2 St Maur-Pellevoisin/ Caulier,600,Lille ,"15 fév, 15:28",59000,43,,Appartement,13.953488372093023
1613500828-54757,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=23,Beau T2 meublé avec mezzanine environ 40 m2 proche de toutes commodités,550,Loos ,"15 fév, 12:37",59120,40,2,Appartement,13.75
1613500665-53576,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=59,Appartement 1 pièce 60 m²,750,Wasquehal ,"11 fév, 16:04",59290,60,,Appartement,12.5
1613500678-53739,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=54,Appartement 2 pièces 59 m²,694,Lille ,"12 fév, 10:12",59000,59,2,Appartement,11.76271186440678
1613500683-53836,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=52,Appartement 2 pièces 38 m²,630,Loos ,"12 fév, 11:25",59120,38,2,Appartement,16.57894736842105
1613500884-55555,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=1,Appartement 1 pièce 15 m²,400,Lille ,"16 fév, 18:10",59000,15,,Appartement,26.666666666666668
1613500882-55492,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=2,Appartement 1 pièce 19 m²,337,Tourcoing ,"16 fév, 18:10",59200,19,,Appartement,17.736842105263158
1613500653-53388,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=64,Appartement 3 pièces 66 m²,905,Lille ,"11 fév, 08:04",59800,66,3,Appartement,13.712121212121213
1613500668-53619,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=58,Appartement 1 pièce 12 m²,490,Lille ,"11 fév, 16:52",59800,12,,Appartement,40.833333333333336
1613500740-54636,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=29,Appartement 2 pièces 39 m²,650,Lille ,"15 fév, 06:35",59800,39,2,Appartement,16.666666666666668
1613500840-54935,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=18,"DUNKERQUE (59) APPARTEMENT T2 de 28,93 m2",510,Dunkerque ,"15 fév, 17:47",59140,93,2,Appartement,5.483870967741935
1613500703-54090,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=44,Appartement 2 pièces 39 m²,380,Caudry ,"13 fév, 09:06",59540,39,2,Appartement,9.743589743589743
1613500641-53229,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=69,Appartement 2 pièces 40 m²,490,Loon-Plage ,"10 fév, 11:50",59279,40,2,Appartement,12.25
1613500557-52174,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=99,Appartement 1 pièce 17 m²,360,Wattignies ,"05 fév, 17:19",59139,17,,Appartement,21.176470588235293
1613500688-53884,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=50,Appart Meublé - T2 - 25 m2,395,Armentières ,"12 fév, 15:28",59280,25,2,Appartement,15.8
1613500582-52538,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=89,Appartement Euralille 71m2,940,Lille ,"07 fév, 21:51",59777,71,,Appartement,13.23943661971831
1613500835-54859,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=20,Maison 4 pièces 81 m²,700,Valenciennes ,"15 fév, 16:15",59300,81,4,Maison,8.641975308641975
1613500604-52688,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=84,Appartement 3 pièces 61 m²,670,Roubaix ,"08 fév, 19:10",59100,61,3,Appartement,10.98360655737705
1613500636-53155,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=71,Studio 1 pièce 16 m²,470,Lille ,"10 fév, 10:10",59000,16,1,Appartement,29.375
1613500670-53639,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=57,Appartement 2 pièces 30 m²,535,Lambersart ,"11 fév, 18:12",59130,30,2,Appartement,17.833333333333332
1613500718-54319,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=38,Appartement 2 pièces 47 m²,615,Seclin ,"13 fév, 17:41",59113,47,2,Appartement,13.085106382978724
1613500646-53284,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=67,Maison 5 pièces 83 m²,850,Steenbecque ,"10 fév, 17:42",59189,83,5,Maison,10.240963855421686
