"nom.commune" "prix_m2" "nombre" "surface"
"1" "Lambersart " 3628.21960413296 22 138.954545454545
"2" "Cysoing " 3228.59354099974 22 162.727272727273
"3" "Villeneuve-d'Ascq " 3115.29120806433 37 164.432432432432
"4" "Lille " 3076.03019429394 66 171.909090909091
"5" "Lomme " 2740.22181468686 21 147.952380952381
"6" "Faumont " 2557.01397924924 21 161.904761904762
"7" "Croix " 2506.65883371788 24 133.125
"8" "Thumeries " 2167.5243793637 22 162.818181818182
"9" "Orchies " 1954.81962533698 36 155.555555555556
"10" "Halluin " 1885.59535944173 21 165.571428571429
"11" "Lestrem " 1873.39376168727 28 156.142857142857
"12" "Leforest " 1850.63348283973 20 116.5
"13" "Carvin " 1813.13228527808 37 143.837837837838
"14" "Vermelles " 1761.51001051133 20 117.15
"15" "Ostricourt " 1668.42451322222 25 127.36
"16" "Armentières " 1634.39684255257 31 146.903225806452
"17" "Tourcoing " 1627.2546664174 71 154.183098591549
"18" "Wattrelos " 1617.28325946771 25 137.12
"19" "Harnes " 1573.09631722548 28 134.535714285714
"20" "Lens " 1566.36463862088 60 158.35
"21" "Hénin-Beaumont " 1547.38861436951 50 140.28
"22" "Roubaix " 1523.89547982417 99 150.79797979798
"23" "La Bassée " 1481.71740454074 22 150.409090909091
